,names,managers,addresses,types,urls,phones,被保険者数,登記注意事項,lat,lon
154,株式会社ペンギン,-,足立区梅島３丁目３６番２６号,-,-,-,1,,35.775806,139.794888
156,有限会社海人,-,足立区西伊興４丁目１番１１号,-,-,-,,,35.802893,139.780417
157,有限会社ユウ企画,-,足立区西伊興３丁目２番１１号,メーカー,-,03-3266-8878,0,,35.798353,139.777356
158,有限会社シモジマ,-,足立区伊興３丁目２３−２５エクセル伊興２０３号,-,-,-,,,35.793973,139.785411
160,株式会社日清機械,-,足立区小台１丁目２７番５号,商社,-,-,5,,35.755444,139.771557
161,ＡＹＡＫＡ株式会社,-,足立区加平１丁目２１番１４号,メーカー,-,-,,,35.775903,139.826866
162,株式会社オーキニー,-,足立区中央本町３丁目１２番１号,その他,-,-,,,35.772271,139.808058
163,酷＿株式会社,-,足立区大谷田３丁目１７−４サンフラワー１号館１０３Ｂ,-,-,-,,,35.778755,139.841164
164,株式会社ＣＵＴ,竹内史和,足立区千住２丁目４５番地,-,http://cut.co.jp/,-,,,35.74958,139.801967
165,株式会社エス・セーリング,-,足立区小台１丁目１６−１２−２０３,-,-,-,1,,35.755444,139.771557
166,富友商事株式会社,-,足立区梅田８丁目１４番２−１０３６号,-,-,-,1,,35.772921,139.795128
167,らく通株式会社,-,足立区花畑３丁目２１−８ビューポイント２０４,-,-,-,3,,35.803676,139.81266
168,有限会社エコー設備,-,足立区新田３丁目３７番１３,建設,-,-,1,,35.771394,139.748646
169,有限会社ジーアンドジェイ,-,足立区千住大川町６番１−１４０１号,-,-,-,1,,35.757149,139.79809
170,有限会社ＡＣＥ　ＴＥＣＨ,-,足立区新田３丁目３６番２−２０５号,-,-,-,,,35.771394,139.748646
171,旭永国際合同会社,-,足立区神明南１丁目２−１０,-,-,-,,,35.788641,139.828751
172,合同会社Ｔｏｗａ　Ｅｘｐｒｅｓｓ,-,足立区千住１丁目４番１号東京芸術センター１０階,-,-,-,0,,35.747835,139.801407
173,株式会社プラクティス,-,足立区新田３丁目３４番５号,教育・研究,-,-,3,,35.771394,139.748646
174,株式会社メックサービス,-,足立区竹の塚３丁目１９番１２号,-,-,-,3,,35.790758,139.800143
175,クラウン商事株式会社,本間悦子,足立区舎人２丁目２番４号グリーンヴィレッジ４０２,サービス,http://www.crown.biz-web.jp,-,1,,35.811296,139.771662
176,常南電設株式会社,山下桂壽,足立区大谷田４丁目１番２号,建設,-,03-3803-2521,2,,35.778912,139.838128
177,株式会社ワールドリング,片桐俊一,足立区宮城１丁目２８番２０号,小売,http://www.world-ring.com/,-,19,,35.75933,139.755095
178,株式会社柳葉コーポレーション,-,足立区足立４丁目２０番１２号ＶＩＬＬＡ五反野１０１,-,-,-,,,35.766192,139.805789
179,株式会社デュコル,代表取締役 山本 邦明,足立区入谷９丁目６番１５号,建設,http://www.ducol.co.jp/,03-6698-2777,8,,35.809011,139.754661
180,株式会社スリーエアテック,-,足立区伊興２丁目１４番５号,-,-,-,3,,35.792936,139.781086
181,矢野建設工業株式会社,-,足立区江北４丁目２５番１０号,-,-,-,9,,35.773847,139.766786
182,株式会社緑環,丸山逸朗,足立区新田３丁目３６番１１−９０４号,建設,http://www.ryokkan.co.jp/,03-5933-6470,1,,35.771394,139.748646
183,ＳＨＡＡＺＡＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ株式会社,-,足立区加賀２丁目３１番４−７０６号,-,-,-,1,,35.792695,139.760153
184,株式会社Ａ・Ｋ・Ｋ７,-,足立区大谷田５丁目９番９号パレノーブル１０３,-,-,-,,,35.78373,139.839345
185,株式会社ショウ,-,足立区宮城１丁目１０番２号,情報・通信,-,-,2,,35.75933,139.755095
186,株式会社Ｇｒａｖｉｓ,竹内拓也,足立区西新井栄町１丁目５−１７,-,https://www.qoo10.jp/shop/eikoumarket,-,,,35.774025,139.788795
187,中城商事株式会社,-,足立区鹿浜２丁目２６番１３号,-,-,-,1,,35.781856,139.747084
188,美貴建設株式会社,-,足立区東綾瀬３丁目１番１５号,-,-,-,7,,35.770916,139.833559
189,株式会社新和,-,足立区扇１丁目２７番３０号,-,-,-,5,,35.762366,139.774261
190,中兮株式会社,-,足立区新田３丁目３７番１３−１２１２,-,-,-,,,35.771394,139.748646
191,株式会社セイコーカンパニー,-,足立区古千谷本町４丁目２番７号,-,-,-,1,,35.80647,139.780199
192,有限会社マジカルエア,-,足立区新田２丁目８番３号,-,-,-,,,35.772706,139.741102
194,有限会社Ｙｏｕｎｇ＆Ｂｅａｕｔｙ,-,足立区新田１丁目８番２３号レーベンスクエアリハート６０２号,-,-,-,,,35.777123,139.740471
195,有限会社ティスモ,-,足立区西新井４丁目１９番４号エンゼルハイム西新井第二４０１号室,不動産、レンタル・リース,-,03-6692-6939,0,,35.787855,139.775443
196,合同会社植村特注家具,-,足立区平野１丁目１７番９号,メーカー,-,-,2,,35.779852,139.805621
197,イノーバス株式会社,-,足立区鹿浜４丁目２１番７号,-,-,-,2,,35.781259,139.758237
198,エスペランス合同会社,-,足立区中央本町４丁目１８−２−４０６号,-,-,-,,,35.775434,139.808267
199,猛画合同会社,-,足立区中央本町３丁目１６番２２−２０３号,-,-,-,1,,35.772271,139.808058
200,スリーディングス株式会社,-,足立区綾瀬１丁目２７番１６号カーサヤマモト１０１,-,-,-,,,35.758847,139.822005
201,株式会社クリップ,-,足立区南花畑１丁目８番２０号,情報・通信,-,-,2,,35.787716,139.82441
