,事業所名,郵便番号,住所,代表者,従業員数,ツクリンクURL,Webサイト
191,山本建装,121-0075,東京都足立区一ツ家1-24-6,山本翔太郎,40,https://tsukulink.net/tokyo/city_131211/825007,
192,有限会社 大建,123-0851,東京都足立区梅田2-2-4,田沼 大幸,8,https://tsukulink.net/tokyo/city_131211/791667,
193,株式会社井上技研,120-0002,東京都足立区中川3-14-9,井上伸吾,63,https://tsukulink.net/tokyo/city_131211/754556,
194,宮古技研,120-0015,東京都足立区足立4-13-3L.M701,戸村将志,,https://tsukulink.net/tokyo/city_131211/749604,
195,濱元工業,121-0836,東京都足立区入谷,濱元,14,https://tsukulink.net/tokyo/city_131211/458682,
196,創栄社,120-0003,東京都足立区東和3-13-1,黒澤 良司,40,https://tsukulink.net/tokyo/city_131211/258187,
197,ステラシーリング,121-0061,東京都足立区花畑6-22-3,星井 雄,40,https://tsukulink.net/tokyo/city_131211/879747,
198,一新建設株式会社,120-0005,東京都足立区綾瀬1-33-16,原野 政彦,10,https://tsukulink.net/tokyo/city_131211/851467,
199,西野電通,,,西野 晃司,40,https://tsukulink.net/tokyo/city_131211/848391,
200,（株）カンクウ,120-0044,東京都足立区千住緑町２−３−１９,藤森 健二,40,https://tsukulink.net/tokyo/city_131211/831741,
201,（株）飯村工業,121-0012,東京都足立区青井６−１５−８,飯村 茂幸,5,https://tsukulink.net/tokyo/city_131211/793119,
202,株式会社隈田組,121-0062,東京都足立区南花畑４−３４−６,隈田 貴,40,https://tsukulink.net/tokyo/city_131211/813249,
203,株式会社鳶かね,120-0005,東京都足立区綾瀬6-5-3,金子 秋夫,3,https://tsukulink.net/tokyo/city_131211/657709,
204,株式会社KR工業,123-0862,東京都足立区皿沼1-12-8,加藤 凌,14,https://tsukulink.net/tokyo/city_131211/747395,
205,有限会社エレテック,123-0872,東京都足立区江北1-14-4,桑原 淳一,40,https://tsukulink.net/tokyo/city_131211/859109,
206,株式会社 日向,120-0005,東京都足立区綾瀬,河田 広,3,https://tsukulink.net/tokyo/city_131211/877538,
